"","X","Year","State","Commodity","Type","Production","Marketing","Measure","Domain","Chemi_family","Materials","Value"
"1",7,2019,"CALIFORNIA","STRAWBERRIES",NA,NA,NA,"$ / CWT","TOTAL",NA,NA,108
"2",13,2019,"FLORIDA","STRAWBERRIES",NA,NA,NA,"$ / CWT","TOTAL",NA,NA,152
"3",38,2019,"OTHER STATES","STRAWBERRIES",NA,NA,"FRESH MARKET","$ / CWT","TOTAL",NA,NA,129
"4",39,2019,"OTHER STATES","STRAWBERRIES",NA,NA,"PROCESSING","$ / CWT","TOTAL",NA,NA,52.8
"5",479,2019,"CALIFORNIA","STRAWBERRIES",NA,NA,"ACRES HARVESTED",NA,"TOTAL",NA,NA,35400
"6",480,2019,"CALIFORNIA","STRAWBERRIES",NA,NA,NA,NA,"TOTAL",NA,NA,36000
"7",481,2019,"CALIFORNIA","STRAWBERRIES",NA,"PRODUCTION",NA,"$","TOTAL",NA,NA,-2073647296
"8",482,2019,"CALIFORNIA","STRAWBERRIES",NA,"PRODUCTION",NA,"CWT","TOTAL",NA,NA,20500000
"9",483,2019,"CALIFORNIA","STRAWBERRIES",NA,NA,"YIELD","CWT / ACRE","TOTAL",NA,NA,580
"10",484,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," FUNGICIDE","AZOXYSTROBIN = 128810",5500
"11",490,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," FUNGICIDE","BLAD = 30006",1200
"12",491,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," FUNGICIDE","BORAX DECAHYDRATE = 11102",300
"13",492,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," FUNGICIDE","BOSCALID = 128008",6200
"14",494,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," FUNGICIDE","CAPTAN = 81301",283500
"15",497,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," FUNGICIDE","CYFLUFENAMID = 555550",400
"16",498,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," FUNGICIDE","CYPRODINIL = 288202",16600
"17",499,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," FUNGICIDE","DIFENOCONAZOLE = 128847",900
