Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2019,MARKETING YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME , PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,2.85,
SURVEY,2019,MARKETING YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME, FRESH MARKET , PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,3.56,
SURVEY,2019,MARKETING YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME, PROCESSING , PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.29,
SURVEY,2019,MARKETING YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES , PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,2.69,
SURVEY,2019,MARKETING YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, FRESH MARKET , PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED, (D),
SURVEY,2019,MARKETING YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, PROCESSING , PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED, (D),
SURVEY,2019,MARKETING YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES , PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,108,
SURVEY,2019,MARKETING YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, FRESH MARKET , PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED, (D),
SURVEY,2019,MARKETING YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, PROCESSING , PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED, (D),
SURVEY,2019,MARKETING YEAR,,STATE,FLORIDA,12,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME , PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,2.64,
