,Year,State,Commodity,Type,Production,Marketing,Measure,Domain,Chemi_family,Materials,Value
1,2019,CALIFORNIA,BLUEBERRIES,TAME,NA,NA,$ / LB,TOTAL,NA,NA,2.85
2,2019,CALIFORNIA,BLUEBERRIES,TAME,NA,FRESH MARKET,$ / LB,TOTAL,NA,NA,3.56
3,2019,CALIFORNIA,BLUEBERRIES,TAME,NA,PROCESSING,$ / LB,TOTAL,NA,NA,0.29
4,2019,CALIFORNIA,RASPBERRIES,NA,NA,NA,$ / LB,TOTAL,NA,NA,2.69
5,2019,CALIFORNIA,RASPBERRIES,NA,NA,FRESH MARKET,$ / LB,TOTAL,NA,NA,(D)
6,2019,CALIFORNIA,RASPBERRIES,NA,NA,PROCESSING,$ / LB,TOTAL,NA,NA,(D)
7,2019,CALIFORNIA,STRAWBERRIES,NA,NA,NA,$ / CWT,TOTAL,NA,NA,108
8,2019,CALIFORNIA,STRAWBERRIES,NA,NA,FRESH MARKET,$ / CWT,TOTAL,NA,NA,(D)
9,2019,CALIFORNIA,STRAWBERRIES,NA,NA,PROCESSING,$ / CWT,TOTAL,NA,NA,(D)
10,2019,FLORIDA,BLUEBERRIES,TAME,NA,NA,$ / LB,TOTAL,NA,NA,2.64
11,2019,FLORIDA,BLUEBERRIES,TAME,NA,FRESH MARKET,$ / LB,TOTAL,NA,NA,(D)
12,2019,FLORIDA,BLUEBERRIES,TAME,NA,PROCESSING,$ / LB,TOTAL,NA,NA,(D)
13,2019,FLORIDA,STRAWBERRIES,NA,NA,NA,$ / CWT,TOTAL,NA,NA,152
14,2019,FLORIDA,STRAWBERRIES,NA,NA,FRESH MARKET,$ / CWT,TOTAL,NA,NA,(D)
15,2019,FLORIDA,STRAWBERRIES,NA,NA,PROCESSING,$ / CWT,TOTAL,NA,NA,(D)
16,2019,GEORGIA,BLUEBERRIES,TAME,NA,NA,$ / LB,TOTAL,NA,NA,1.42
17,2019,GEORGIA,BLUEBERRIES,TAME,NA,FRESH MARKET,$ / LB,TOTAL,NA,NA,1.94
18,2019,GEORGIA,BLUEBERRIES,TAME,NA,PROCESSING,$ / LB,TOTAL,NA,NA,0.42
19,2019,MAINE,BLUEBERRIES,WILD,NA,NA,$ / LB,TOTAL,NA,NA,0.48
20,2019,MAINE,BLUEBERRIES,WILD,NA,FRESH MARKET,$ / LB,TOTAL,NA,NA,1.19
21,2019,MAINE,BLUEBERRIES,WILD,NA,PROCESSING,$ / LB,TOTAL,NA,NA,0.461
22,2019,MICHIGAN,BLUEBERRIES,TAME,NA,NA,$ / LB,TOTAL,NA,NA,0.886
23,2019,MICHIGAN,BLUEBERRIES,TAME,NA,FRESH MARKET,$ / LB,TOTAL,NA,NA,1.35
24,2019,MICHIGAN,BLUEBERRIES,TAME,NA,PROCESSING,$ / LB,TOTAL,NA,NA,0.37
25,2019,NEW JERSEY,BLUEBERRIES,TAME,NA,NA,$ / LB,TOTAL,NA,NA,1.85
26,2019,NEW JERSEY,BLUEBERRIES,TAME,NA,FRESH MARKET,$ / LB,TOTAL,NA,NA,2.15
27,2019,NEW JERSEY,BLUEBERRIES,TAME,NA,PROCESSING,$ / LB,TOTAL,NA,NA,0.44
28,2019,NORTH CAROLINA,BLUEBERRIES,TAME,NA,NA,$ / LB,TOTAL,NA,NA,1.7
29,2019,NORTH CAROLINA,BLUEBERRIES,TAME,NA,FRESH MARKET,$ / LB,TOTAL,NA,NA,(D)
30,2019,NORTH CAROLINA,BLUEBERRIES,TAME,NA,PROCESSING,$ / LB,TOTAL,NA,NA,(D)
31,2019,OREGON,BLUEBERRIES,TAME,NA,NA,$ / LB,TOTAL,NA,NA,0.871
32,2019,OREGON,BLUEBERRIES,TAME,NA,FRESH MARKET,$ / LB,TOTAL,NA,NA,1.23
33,2019,OREGON,BLUEBERRIES,TAME,NA,PROCESSING,$ / LB,TOTAL,NA,NA,0.58
34,2019,OTHER STATES,BLUEBERRIES,TAME,NA,FRESH MARKET,$ / LB,TOTAL,NA,NA,2.27
35,2019,OTHER STATES,BLUEBERRIES,TAME,NA,PROCESSING,$ / LB,TOTAL,NA,NA,0.452
36,2019,OTHER STATES,RASPBERRIES,NA,NA,FRESH MARKET,$ / LB,TOTAL,NA,NA,2.9
37,2019,OTHER STATES,RASPBERRIES,NA,NA,PROCESSING,$ / LB,TOTAL,NA,NA,0.542
38,2019,OTHER STATES,STRAWBERRIES,NA,NA,FRESH MARKET,$ / CWT,TOTAL,NA,NA,129
39,2019,OTHER STATES,STRAWBERRIES,NA,NA,PROCESSING,$ / CWT,TOTAL,NA,NA,52.8
40,2019,WASHINGTON,BLUEBERRIES,TAME,NA,NA,$ / LB,TOTAL,NA,NA,0.941
41,2019,WASHINGTON,BLUEBERRIES,TAME,NA,FRESH MARKET,$ / LB,TOTAL,NA,NA,1.81
42,2019,WASHINGTON,BLUEBERRIES,TAME,NA,PROCESSING,$ / LB,TOTAL,NA,NA,0.55
43,2019,WASHINGTON,RASPBERRIES,NA,NA,NA,$ / LB,TOTAL,NA,NA,0.559
44,2019,WASHINGTON,RASPBERRIES,NA,NA,FRESH MARKET,$ / LB,TOTAL,NA,NA,(D)
45,2019,WASHINGTON,RASPBERRIES,NA,NA,PROCESSING,$ / LB,TOTAL,NA,NA,(D)
46,2019,CALIFORNIA,BLUEBERRIES,TAME,NA,ACRES HARVESTED,NA,TOTAL,NA,NA,7300
47,2019,CALIFORNIA,BLUEBERRIES,TAME,PRODUCTION,NA,LB,TOTAL,NA,NA,73700000
48,2019,CALIFORNIA,BLUEBERRIES,TAME,NA,YIELD,LB / ACRE,TOTAL,NA,NA,10100
49,2019,CALIFORNIA,BLUEBERRIES,TAME,PRODUCTION,FRESH MARKET,$,TOTAL,NA,NA,199930000
50,2019,CALIFORNIA,BLUEBERRIES,TAME,PRODUCTION,FRESH MARKET,LB,TOTAL,NA,NA,56160000
51,2019,CALIFORNIA,BLUEBERRIES,TAME,PRODUCTION,NOT SOLD,LB,TOTAL,NA,NA,1920000
52,2019,CALIFORNIA,BLUEBERRIES,TAME,PRODUCTION,PROCESSING,$,TOTAL,NA,NA,4530000
53,2019,CALIFORNIA,BLUEBERRIES,TAME,PRODUCTION,PROCESSING,LB,TOTAL,NA,NA,15620000
54,2019,CALIFORNIA,BLUEBERRIES,TAME,PRODUCTION,UTILIZED,$,TOTAL,NA,NA,204460000
55,2019,CALIFORNIA,BLUEBERRIES,TAME,PRODUCTION,UTILIZED,LB,TOTAL,NA,NA,71780000
56,2019,CALIFORNIA,RASPBERRIES,NA,NA,ACRES HARVESTED,NA,TOTAL,NA,NA,7500
57,2019,CALIFORNIA,RASPBERRIES,NA,PRODUCTION,NA,LB,TOTAL,NA,NA,143500000
58,2019,CALIFORNIA,RASPBERRIES,NA,NA,YIELD,LB / ACRE,TOTAL,NA,NA,19100
59,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, FUNGICIDE,AZOXYSTROBIN = 128810,(D)
60,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, FUNGICIDE,BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482,(NA)
61,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, FUNGICIDE,BACILLUS SUBTILIS = 6479,(NA)
62,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, FUNGICIDE,BORAX DECAHYDRATE = 11102,(D)
63,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, FUNGICIDE,BOSCALID = 128008,300
64,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, FUNGICIDE,CALCIUM POLYSULFIDE = 76702,(D)
65,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, FUNGICIDE,CAPTAN = 81301,(D)
