YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2001 01 01 00 255 13.2 16.4  1.49  4.76  4.30 999 1001.2  -1.5   4.3  -7.6 99.0 99.00
2001 01 01 01 255 14.3 17.5  1.50  4.35  4.17 999 1002.0  -1.9   4.3  -7.1 99.0 99.00
2001 01 01 02 263 15.8 19.9  1.68  4.76  4.31 999 1002.4  -1.9   4.3  -7.3 99.0 99.00
2001 01 01 03 267 14.4 17.5  1.64  5.00  4.37 999 1003.6  -2.1   4.3  -7.2 99.0 99.00
2001 01 01 04 270 13.9 17.6  1.55  4.76  4.21 999 1004.6  -2.2   4.4  -8.3 99.0 99.00
2001 01 01 05 268 12.9 15.6  1.47  4.76  4.16 999 1005.5  -2.3   4.4  -7.8 99.0 99.00
2001 01 01 06 270 12.5 15.4  1.36  4.55  4.05 999 1006.3  -2.6   4.4  -8.2 99.0 99.00
2001 01 01 07 273 12.6 15.6  1.32  4.35  4.01 999 1007.2  -2.7   4.8  -8.6 99.0 99.00
2001 01 01 08 270 13.1 16.3  1.15  4.17  3.81 999 1008.0  -2.9   4.8  -7.9 99.0 99.00
2001 01 01 09 271 13.9 17.1  1.36  4.35  3.87 999 1008.1  -2.7   4.8  -7.5 99.0 99.00
2001 01 01 10 271 12.9 15.3  1.30  4.55  3.95 999 1009.5  -3.0   4.9  -8.4 99.0 99.00
2001 01 01 11 277 13.5 16.5  1.34  4.55  3.89 999 1010.1  -2.9   5.0  -8.0 99.0 99.00
2001 01 01 12 285 12.5 15.4  1.31  4.17  3.90 999 1011.3  -3.0   4.9  -8.1 99.0 99.00
2001 01 01 13 292 11.6 14.7  1.15  4.35  3.75 999 1012.4  -3.3   4.8  -8.7 99.0 99.00
2001 01 01 14 290  9.2 11.5  1.21  4.17  3.87 999 1014.0  -3.4   4.8  -9.0 99.0 99.00
2001 01 01 15 272  8.7 10.5  0.98  3.85  3.65 999 1014.8  -3.1   5.0  -8.9 99.0 99.00
2001 01 01 16 280  9.6 11.8  0.82  3.70  3.53 999 1014.9  -2.5   5.1  -8.5 99.0 99.00
2001 01 01 17 286  8.5 10.8  0.81  3.33  3.45 999 1014.8  -1.5   5.2  -7.7 99.0 99.00
2001 01 01 18 287  8.3  9.9  0.70  3.33  3.38 999 1014.8  -0.8   5.2  -7.2 99.0 99.00
2001 01 01 19 287  8.6 10.4  0.71  3.45  3.42 999 1014.8   0.1   5.2  -7.3 99.0 99.00
2001 01 01 20 290  7.4  9.7  0.66  3.33  3.39 999 1015.6   0.8   5.2  -6.4 99.0 99.00
2001 01 01 21 298  6.6  8.2  0.69  3.23  3.33 999 1016.4   1.2   5.1  -6.0 99.0 99.00
2001 01 01 22 314  7.4  9.1  0.65  3.13  3.27 999 1017.1   1.2   5.1  -6.2 99.0 99.00
2001 01 01 23 317  9.1 10.6  0.74  3.23  3.35 999 1017.5   0.7   5.1 999.0 99.0 99.00
2001 01 02 00 318  7.8 10.2  0.81  3.33  3.43 999 1018.6   0.0   5.1  -7.2 99.0 99.00
2001 01 02 01 313  8.7 10.4  0.84  3.70  3.60 999 1018.8  -0.9   5.1  -6.5 99.0 99.00
2001 01 02 02 333  8.4 10.2  0.97  3.57  3.61 999 1019.4  -1.9   5.1  -7.4 99.0 99.00
2001 01 02 03 326  7.4  9.4  0.92  3.85  3.71 999 1019.7  -2.6   5.1  -7.5 99.0 99.00
2001 01 02 04 329  6.8  9.0  0.90  3.70  3.68 999 1020.1  -3.1   5.1  -8.0 99.0 99.00
2001 01 02 05 325  5.6  7.7  0.75  3.45  3.64 999 1019.8  -3.4   5.1  -7.9 99.0 99.00
2001 01 02 06 318  5.8  7.5  0.72  3.23  3.63 999 1019.6  -3.5   5.0  -7.9 99.0 99.00
2001 01 02 07 319  6.7  8.5  0.74  3.13  3.55 999 1019.6  -3.9   4.9  -8.0 99.0 99.00
2001 01 02 08 329  7.5  8.9  0.73  3.13  3.51 999 1019.6  -3.8   5.1  -8.0 99.0 99.00
2001 01 02 09 331  7.6 10.1  0.88  3.45  3.75 999 1019.6  -4.1   5.1  -8.0 99.0 99.00
2001 01 02 10 333  7.8  9.1  0.92  5.00  3.82 999 1019.6  -4.0   5.1  -7.3 99.0 99.00
2001 01 02 11 327  6.6  7.9  0.83  4.76  3.66 999 1020.3  -3.9   5.1  -6.8 99.0 99.00
2001 01 02 12 320  8.0  9.7  0.75  2.94  3.53 999 1020.4  -4.3   5.1  -7.1 99.0 99.00
2001 01 02 13 316  7.2  8.7  0.81  3.23  3.51 999 1021.0  -4.5   5.1  -7.7 99.0 99.00
2001 01 02 14 313  6.1  7.3  0.80  3.33  3.52 999 1021.2  -4.5   4.8  -8.3 99.0 99.00
2001 01 02 15 307  5.7  7.5  0.81  3.23  3.59 999 1021.8  -4.7   4.9  -8.9 99.0 99.00
2001 01 02 16 298  4.2  5.5  0.76  3.23  3.74 999 1021.2  -4.6   4.9  -9.5 99.0 99.00
2001 01 02 17 286  4.5  6.1  0.71  5.26  3.86 999 1020.4  -4.2   5.1  -9.5 99.0 99.00
2001 01 02 18 283  5.6  7.2  0.70  4.55  3.97 999 1019.5  -3.8   5.1  -9.5 99.0 99.00
2001 01 02 19 296  5.9  7.6  0.67  5.26  3.74 999 1018.9  -3.2   5.1 -10.1 99.0 99.00
2001 01 02 20 296  5.9  8.3  0.67  2.94  3.57 999 1018.8  -2.6   5.1  -9.8 99.0 99.00
2001 01 02 21 289  6.4  8.7  0.66  3.23  3.49 999 1018.8  -2.2   5.1  -9.6 99.0 99.00
