YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 01 01 00 184  8.6 10.5  0.17  2.50  3.03 999 1014.9   5.2   5.2 999.0 99.0 99.00
2004 01 01 01 214  9.7 11.7  0.43  2.78  2.89 999 1014.2   5.1   5.2   0.0 99.0 99.00
2004 01 01 02 227  9.9 12.2 99.00 99.00 99.00 999 1013.8   4.8   5.2  -0.8 99.0 99.00
2004 01 01 03 232 11.8 14.5  0.96  3.45  3.34 999 1013.0   5.1   5.2  -0.2 99.0 99.00
2004 01 01 04 232  9.2 11.3  1.00  3.57  3.43 999 1013.2   5.2   5.2  -0.7 99.0 99.00
2004 01 01 05 227 10.7 12.5  0.83  3.45  3.30 999 1012.5   5.4   5.2  -0.1 99.0 99.00
2004 01 01 06 229 10.8 13.4  0.87  3.45  3.32 999 1012.3   5.8   5.2  -0.1 99.0 99.00
2004 01 01 07 249 11.4 14.4  0.95  3.45  3.45 999 1013.3   6.0   5.2  -1.4 99.0 99.00
2004 01 01 08 256  9.3 10.8  0.83  3.57  3.46 999 1014.2   5.5   5.2  -0.8 99.0 99.00
2004 01 01 09 290  8.5 10.0  0.55  3.33  3.18 999 1015.6   5.5   5.2  -1.7 99.0 99.00
2004 01 01 10 296 10.5 12.6  0.73  3.45  3.21 999 1016.8   5.2   5.1  -4.0 99.0 99.00
2004 01 01 11 285 10.6 13.0  0.81  3.70  3.49 999 1018.0   4.7   5.1  -3.6 99.0 99.00
2004 01 01 12 280  8.4 10.2  0.76  3.70  3.40 999 1018.9   4.3   5.1  -4.0 99.0 99.00
2004 01 01 13 270 10.1 12.4  0.76  3.45  3.32 999 1020.2   4.0   5.1  -3.6 99.0 99.00
2004 01 01 14 278  8.3 10.0  0.74  3.45  3.26 999 1022.0   4.0   5.1  -3.1 99.0 99.00
2004 01 01 15 278  7.1  8.9  0.66  3.13  3.21 999 1022.6   3.9   5.1  -3.6 99.0 99.00
2004 01 01 16 279  6.9  8.4  0.55  3.13  3.10 999 1022.1   4.1   5.1  -4.1 99.0 99.00
2004 01 01 17 304  7.7  9.8  0.41  3.03  3.07 999 1021.6   4.8   5.1  -3.4 99.0 99.00
2004 01 01 18 291  8.0  9.5  0.68  3.33  3.23 999 1021.9   5.2   5.2  -3.1 99.0 99.00
2004 01 01 19 303  7.6  8.9  0.70  3.57  3.38 999 1022.0   5.5   5.2  -3.6 99.0 99.00
2004 01 01 20 301  7.8  8.9  0.70  3.57  3.37 999 1022.3   5.5   5.2  -2.4 99.0 99.00
2004 01 01 21 316  9.4 11.4  0.84  3.70  3.44 999 1022.6   5.1   5.2  -2.9 99.0 99.00
2004 01 01 22 305  7.6  9.4  0.76  3.85  3.47 999 1023.6   4.7   5.2  -4.2 99.0 99.00
2004 01 01 23 307  8.4 10.4  0.74  3.45  3.37 999 1024.1   4.4   5.2  -3.6 99.0 99.00
2004 01 02 00 299  6.6  8.2  0.58  3.33  3.28 999 1024.9   4.3   5.2  -3.1 99.0 99.00
2004 01 02 01 303  6.4  7.8  0.49  2.86  3.03 999 1025.0   4.0   5.2  -3.2 99.0 99.00
2004 01 02 02 308  7.1  8.3  0.49  2.78  3.02 999 1025.2   3.9   5.2  -4.0 99.0 99.00
2004 01 02 03 321  6.6  7.9  0.39  2.78  3.03 999 1025.1   3.6   5.2  -3.6 99.0 99.00
2004 01 02 04 340  4.5  5.3  0.36  2.70  3.33 999 1025.8   2.9   5.2  -3.6 99.0 99.00
2004 01 02 05 327  4.4  5.3  0.33  2.56  3.77 999 1025.8   2.3   5.2  -3.2 99.0 99.00
2004 01 02 06 303  5.0  5.6  0.37  4.17  3.51 999 1025.7   2.0   5.2  -3.0 99.0 99.00
2004 01 02 07 312  3.9  5.0  0.36  4.00  3.90 999 1025.8   2.0   5.2  -3.3 99.0 99.00
2004 01 02 08 321  3.8  4.6  0.33 12.50  4.14 999 1025.7   1.6   5.2  -4.0 99.0 99.00
2004 01 02 09 322  2.4  3.4  0.31  4.00  4.06 999 1025.0   1.6   5.2  -3.5 99.0 99.00
2004 01 02 10 319  2.1  3.1  0.31  4.00  4.24 999 1024.3   1.6   5.2  -3.5 99.0 99.00
2004 01 02 11 344  2.1  2.9  0.35  4.17  4.27 999 1023.7   1.6   5.2  -4.3 99.0 99.00
2004 01 02 12  12  0.7  1.5  0.34  4.55  4.36 999 1024.1   1.6   5.2  -4.8 99.0 99.00
2004 01 02 13 248  0.4  0.9  0.31  4.55  4.28 999 1024.3   1.7   5.2  -4.6 99.0 99.00
2004 01 02 14 213  2.3  3.5  0.31  4.35  4.21 999 1025.2   2.1   5.2  -1.9 99.0 99.00
2004 01 02 15 173  4.2  6.8  0.31  4.00  4.44 999 1024.4   2.1   5.2  -3.6 99.0 99.00
2004 01 02 16 186  1.9  2.4  0.27 11.11  4.48 999 1024.1   0.1   5.2  -0.3 99.0 99.00
2004 01 02 17 178  3.5  4.2  0.28 11.11  4.93 999 1022.7   0.4   5.2   0.1 99.0 99.00
2004 01 02 18 157  3.3  4.3  0.28 11.11  4.77 999 1022.0   1.2   5.1   1.0 99.0 99.00
2004 01 02 19 142  3.1  4.0  0.30 11.11  4.96 999 1021.9   1.9   5.1   1.8 99.0 99.00
2004 01 02 20 125  3.6  4.4  0.29  7.69  4.86 999 1021.2   2.7   5.1   1.9 99.0 99.00
2004 01 02 21 109  3.6  4.7  0.28  4.00  4.59 999 1021.2   3.1   5.1   2.3 99.0 99.00
2004 01 02 22  89  3.3  4.2  0.31 12.50  4.63 999 1021.3   3.1   5.1   2.3 99.0 99.00
2004 01 02 23  97  4.5  5.4  0.33  5.56  4.00 999 1021.0   3.3   5.1   2.4 99.0 99.00
2004 01 03 00  89  4.2  5.1  0.35  2.70  3.80 999 1021.1   3.6   5.1   2.4 99.0 99.00
2004 01 03 01  87  5.0  6.3  0.39  2.56  3.37 999 1020.6   4.0   5.1   3.0 99.0 99.00
2004 01 03 02  76  3.0  3.7  0.46  2.86  3.39 999 1021.2   4.4   5.1   3.4 99.0 99.00
2004 01 03 03  61  3.1  3.8  0.52  3.13  3.55 999 1021.3   4.7   5.1   3.7 99.0 99.00
2004 01 03 04  47  2.4  2.9  0.46  3.23  3.68 999 1021.2   4.8   5.1   3.9 99.0 99.00
2004 01 03 05   4  3.0  3.5  0.41  3.33  3.84 999 1021.2   4.8   5.2   4.0 99.0 99.00
2004 01 03 06  19  4.4  5.1  0.45  3.33  3.92 999 1020.8   4.4   5.2   4.2 99.0 99.00
2004 01 03 07  13  5.2  5.9  0.45  3.70  3.65 999 1020.1   4.4   5.2   4.2 99.0 99.00
2004 01 03 08  20  3.5  4.6  0.48  3.57  3.74 999 1020.4   4.8   5.1   4.6 99.0 99.00
2004 01 03 09  26  5.0  6.0  0.48  4.35  3.84 999 1018.8   4.8   5.1   4.6 99.0 99.00
2004 01 03 10  35  2.4  3.0  0.50  4.35  3.77 999 1017.9   5.1   5.1   4.9 99.0 99.00
2004 01 03 11 342  1.7  2.0  0.56  4.35  4.05 999 1017.9   5.1   5.1   4.9 99.0 99.00
2004 01 03 12 353  3.4  3.9  0.54  4.35  4.06 999 1017.2   4.4   5.1   4.2 99.0 99.00
2004 01 03 13 344  2.1  2.5  0.54  4.76  4.15 999 1016.5   4.3   5.1   4.2 99.0 99.00
2004 01 03 14 291  1.8  2.7  0.55  4.76  4.11 999 1017.0   4.1   5.1   4.0 99.0 99.00
2004 01 03 15 265  1.8  2.5  0.49  4.76  4.26 999 1016.5   3.2   5.1   3.1 99.0 99.00
2004 01 03 16 305  2.0  2.4  0.44  5.00  4.43 999 1015.8   3.1   5.1   3.0 99.0 99.00
2004 01 03 17 237  0.7  1.0  0.41  5.00  4.58 999 1014.1   3.1   5.1   3.0 99.0 99.00
2004 01 03 18 233  0.5  0.8  0.42  5.26  4.54 999 1012.9   3.2   4.8   3.1 99.0 99.00
2004 01 03 19 278  0.4  0.6  0.39  4.76  4.64 999 1012.7   3.6   4.7   3.5 99.0 99.00
2004 01 03 20 155  0.5  0.6  0.43  5.00  4.53 999 1011.9   3.9   4.7   3.8 99.0 99.00
2004 01 03 21 176  1.7  2.0  0.46  4.76  4.50 999 1011.4   4.3   4.7   4.2 99.0 99.00
2004 01 03 22 347  0.6  1.0  0.53  4.55  4.60 999 1011.2   4.7   4.7   4.6 99.0 99.00
2004 01 03 23   4  1.1  1.2  0.57  4.76  4.58 999 1011.4   5.0   4.7   4.9 99.0 99.00
2004 01 04 00  17  3.4  3.8  0.61  4.76  4.49 999 1011.9   4.7   4.7   4.6 99.0 99.00
2004 01 04 01  89  1.4  2.0  0.57  4.55  4.58 999 1011.9   4.8   4.7   4.7 99.0 99.00
2004 01 04 02 113  1.5  2.0  0.57  5.00  4.63 999 1011.9   5.0   4.7   4.9 99.0 99.00
2004 01 04 03 150  4.0  4.5  0.56  5.26  4.70 999 1011.0   5.1   4.7   5.0 99.0 99.00
2004 01 04 04 164  3.8  4.6  0.56  5.56  4.91 999 1010.6   5.4   4.7   5.3 99.0 99.00
2004 01 04 05 211  1.3  1.8  0.55  5.88  5.08 999 1010.1   5.9   4.7   5.8 99.0 99.00
2004 01 04 06 221  1.1  1.4  0.56  5.88  5.33 999 1009.6   6.3   4.7   6.2 99.0 99.00
2004 01 04 07 226  3.1  3.6  0.54  5.56  5.29 999 1010.1   6.6   4.7   6.5 99.0 99.00
2004 01 04 08 229  3.6  4.1  0.52  6.25  5.44 999 1010.0   6.6   4.8   6.5 99.0 99.00
2004 01 04 09 256  3.5  3.9  0.50  5.56  5.29 999 1009.9   6.6   4.8   6.5 99.0 99.00
2004 01 04 10 256  3.0  3.3  0.55  5.26  5.36 999 1009.6   6.5   4.8   6.4 99.0 99.00
2004 01 04 11 247  3.0  3.2  0.50  5.88  5.42 999 1009.9   6.4   4.8   6.2 99.0 99.00
2004 01 04 12 250  3.7  4.5  0.45  5.88  5.19 999 1010.4   6.4   4.8   6.3 99.0 99.00
2004 01 04 13 256  0.8  1.7  0.50  5.88  5.13 999 1010.4   6.3   4.8   6.1 99.0 99.00
2004 01 04 14 233  2.1  2.7  0.46  5.56  5.12 999 1011.9   6.4   4.8   6.2 99.0 99.00
2004 01 04 15 250  3.4  3.7  0.44  5.88  5.36 999 1012.0   6.3   4.8   5.7 99.0 99.00
2004 01 04 16 254  4.3  4.9  0.39  5.88  5.10 999 1012.0   7.1   5.0   5.5 99.0 99.00
2004 01 04 17 260  4.4  4.9  0.38  5.88  5.54 999 1012.4   7.2   5.1   5.1 99.0 99.00
2004 01 04 18 239  3.3  3.7  0.38  5.88  5.89 999 1011.9   6.7   5.1   4.5 99.0 99.00
2004 01 04 19 225  2.2  2.5  0.36  6.25  6.03 999 1012.0   6.4   5.1   4.6 99.0 99.00
2004 01 04 20 289  4.2  5.4  0.38  7.14  6.32 999 1013.2   7.0   5.1   4.1 99.0 99.00
2004 01 04 21 316  2.3  3.4  0.47  7.14  6.06 999 1013.5   6.4   5.1   1.9 99.0 99.00
2004 01 04 22 305  1.7  2.6  0.41  7.14  6.03 999 1014.1   6.0   5.1   1.9 99.0 99.00
2004 01 04 23 331  4.6  5.1  0.40  6.67  5.86 999 1015.0   5.6   5.1   2.0 99.0 99.00
2004 01 05 00 314  3.3  3.9  0.42  7.14  5.94 999 1015.1   5.2   5.1   2.7 99.0 99.00
2004 01 05 01 310  4.4  5.6  0.37  6.67  5.85 999 1015.7   5.2   5.1   2.5 99.0 99.00
2004 01 05 02 331  5.5  6.4  0.36  6.67  6.06 999 1015.8   4.4   5.1   0.9 99.0 99.00
