YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 01 00 00 187  9.0 10.1  0.85  3.23  3.58 999 1022.6   7.6   6.3   7.1 99.0 99.00
2005 01 01 01 00 193  8.3 10.5  0.78  3.85  3.57 999 1022.1   8.3   6.3   6.1 99.0 99.00
2005 01 01 02 00 212  7.0  8.9  0.90  3.13  3.50 999 1022.0   8.2   6.3   5.2 99.0 99.00
2005 01 01 03 00 210  8.8 11.2  1.00  4.17  3.70 999 1021.1   8.7   6.3   5.1 99.0 99.00
2005 01 01 04 00 237  6.8  8.0  1.00  3.33  3.79 999 1021.4   7.9   6.3   5.0 99.0 99.00
2005 01 01 05 00 210  5.7  6.7  0.84  3.57  3.82 999 1020.5   7.4   6.3   5.0 99.0 99.00
2005 01 01 06 00 206  8.7 10.6  0.79  3.85  3.79 999 1019.0   7.8   6.3   5.0 99.0 99.00
2005 01 01 07 00 209  7.9  9.5  0.84  2.94  3.50 999 1018.8   7.9   6.2   4.7 99.0 99.00
2005 01 01 08 00 213  8.1  9.4  0.83  3.13  3.50 999 1018.1   7.5   6.2   4.9 99.0 99.00
2005 01 01 09 00 207  9.1 10.8  0.83  3.13  3.38 999 1017.5   7.4   6.2   5.1 99.0 99.00
2005 01 01 10 00 216  7.5  8.9  0.91  3.33  3.45 999 1017.4   7.4   6.2   5.3 99.0 99.00
2005 01 01 11 00 213  8.3  9.7  0.91  3.45  3.54 999 1017.4   7.5   6.2   5.3 99.0 99.00
2005 01 01 12 00 207  6.4  7.8  0.80  3.23  3.42 999 1018.1   7.3   6.2   5.3 99.0 99.00
2005 01 01 13 00 201  6.0  6.7  0.68  2.94  3.40 999 1018.8   6.8   5.6   5.2 99.0 99.00
2005 01 01 14 00 242  7.0  8.3  0.58 10.00  3.69 999 1019.4   6.7   5.6   5.0 99.0 99.00
2005 01 01 15 00 245  7.5  9.2  0.74  2.94  3.44 999 1019.6   7.8   5.8   5.3 99.0 99.00
2005 01 01 16 00 289  9.5 11.2  0.80  3.23  3.49 999 1020.4   9.0   5.6   2.3 99.0 99.00
2005 01 01 17 00 300  9.3 11.5  0.89  3.57  3.57 999 1020.9   9.0   5.9   0.7 99.0 99.00
2005 01 01 18 00 289  5.3  7.0  0.84  3.57  3.64 999 1021.3   8.0   5.9   2.1 99.0 99.00
2005 01 01 19 00 310  7.1  8.5  0.81  3.33  3.64 999 1022.6   8.4   6.0   1.3 99.0 99.00
2005 01 01 20 00 326  7.2  9.0  0.75  3.23  3.59 999 1024.1   7.9   6.0   1.5 99.0 99.00
2005 01 01 21 00 327  8.3  9.9  0.87  3.45  3.71 999 1025.5   7.5   6.0   0.6 99.0 99.00
2005 01 01 22 00 321  7.5  9.3  0.94  3.57  3.65 999 1027.3   6.7   6.0   0.6 99.0 99.00
2005 01 01 23 00 315  6.4  7.6  0.82  3.23  3.53 999 1028.7   6.3   5.9   0.7 99.0 99.00
2005 01 02 00 00 311  7.4  9.4  0.75 11.11  3.73 999 1029.6   6.1   5.9   0.3 99.0 99.00
2005 01 02 01 00 305  5.6  6.8  0.77  2.94  3.57 999 1030.6   5.6   5.9   0.4 99.0 99.00
2005 01 02 02 00 316  9.4 11.2  0.90  3.03  3.61 999 1031.4   5.1   5.9  -0.9 99.0 99.00
2005 01 02 03 00 325  9.2 11.6  1.13  3.70  3.87 999 1032.7   4.3   5.9  -3.0 99.0 99.00
2005 01 02 04 00 341  9.5 11.4  1.21  4.17  3.86 999 1033.6   3.6   5.9  -4.1 99.0 99.00
2005 01 02 05 00 340  8.6 10.4  1.17  3.70  3.92 999 1034.6   2.6   5.9  -4.2 99.0 99.00
2005 01 02 06 00 344  8.0 10.2  1.07  3.85  3.92 999 1035.1   2.0   5.9  -4.3 99.0 99.00
2005 01 02 07 00 342  7.7  8.9  0.97  3.23  3.80 999 1035.7   1.6   5.9  -4.0 99.0 99.00
2005 01 02 08 00 346  6.6  8.5  0.97  4.17  3.97 999 1037.0   1.6   6.0  -4.0 99.0 99.00
2005 01 02 09 00   4  7.5 10.4  1.32  5.56  4.25 999 1037.2   2.0   6.0  -6.9 99.0 99.00
2005 01 02 10 00  13  8.2  9.8  1.46  5.56  4.44 999 1037.6   1.8   6.0  -6.8 99.0 99.00
2005 01 02 11 00  21  9.0 11.1  1.52  5.88  4.46 999 1038.5   1.3   6.0  -5.8 99.0 99.00
2005 01 02 12 00  27  8.3 10.1  1.63  5.56  4.58 999 1039.3   1.0   5.9  -4.9 99.0 99.00
2005 01 02 13 00  25  8.6 10.6  1.67  5.88  4.74 999 1039.7   0.6   5.9  -5.6 99.0 99.00
2005 01 02 14 00  42  7.3  9.8  1.57  5.88  4.63 999 1040.6   0.5   5.9  -7.0 99.0 99.00
2005 01 02 15 00  44  6.3  8.9  1.48  5.56  4.64 999 1040.9   0.3   5.9  -5.0 99.0 99.00
2005 01 02 16 00  56  5.8  8.5  1.53  6.25  4.89 999 1040.8   0.2   5.9  -4.0 99.0 99.00
2005 01 02 17 00  59  4.9  6.2  1.35  6.25  4.90 999 1039.5   0.3   6.0  -4.2 99.0 99.00
2005 01 02 18 00  90  3.8  5.9  1.20  6.25  4.72 999 1038.2   0.5   6.2  -4.3 99.0 99.00
2005 01 02 19 00 124  4.1  5.8  1.14  6.67  4.86 999 1037.7   0.9   6.0  -3.7 99.0 99.00
2005 01 02 20 00 131  4.0  5.4  1.12  5.88  4.89 999 1036.8   1.2   5.9  -3.1 99.0 99.00
2005 01 02 21 00 159  6.0  7.6  0.99 10.00  5.00 999 1036.1   1.9   5.9  -2.3 99.0 99.00
2005 01 02 22 00 162  7.1  9.4  1.01  6.67  4.77 999 1035.8   2.4   5.9  -1.7 99.0 99.00
