"","V1","uid","city_dev_index","gender","relevant_experience","enrolled_university","education_level","major_discipline","experience_years","company_size","company_type","last_new_job","training_hours","experience_level","pred_rf"
"1",1,8949,0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",22,"100-500","Pvt Ltd","1",36,"Y4","0"
"2",2,29725,0.776,"Male","No relevent experience","no_enrollment","Graduate","STEM",15,"50-99","Pvt Ltd",">4",47,"Y3","0"
"3",3,11561,0.624,"Male","No relevent experience","Full time course","Graduate","STEM",5,"100-500","Pvt Ltd","never",83,"Y2","1"
"4",4,33241,0.789,"Male","No relevent experience","Full time course","Graduate","Business Degree",0,"10000+","Pvt Ltd","never",52,"Y1","0"
"5",5,21651,0.764,"Male","Has relevent experience","Part time course","Graduate","STEM",11,"<10","Funded Startup","1",24,"Y3","0"
"6",6,28806,0.92,"Male","Has relevent experience","no_enrollment","High School","STEM",5,"50-99","Funded Startup","1",24,"Y2","0"
"7",7,27107,0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",7,"50-99","Pvt Ltd","1",46,"Y2","0"
"8",8,29452,0.624,"Male","No relevent experience","Full time course","High School","STEM",2,"10000+","Pvt Ltd","never",32,"Y1","0"
"9",9,23853,0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",5,"5000-9999","Pvt Ltd","1",108,"Y2","0"
"10",10,8722,0.624,"Male","No relevent experience","Full time course","High School","STEM",5,"10/49","Pvt Ltd","never",26,"Y2","1"
"11",11,6588,0.926,"Male","Has relevent experience","no_enrollment","Graduate","STEM",16,"10/49","Pvt Ltd",">4",18,"Y4","0"
"12",12,5764,0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM",2,"5000-9999","Pvt Ltd","2",7,"Y1","0"
"13",13,11399,0.827,"Female","Has relevent experience","no_enrollment","Graduate","Arts",4,"10/49","Funded Startup","1",132,"Y2","0"
"14",14,31972,0.843,"Male","Has relevent experience","no_enrollment","Masters","STEM",11,"100-500","Pvt Ltd","1",68,"Y3","0"
"15",15,6491,0.804,"Male","Has relevent experience","no_enrollment","Masters","STEM",10,"5000-9999","Pvt Ltd","1",48,"Y3","0"
"16",16,17139,0.624,"Male","Has relevent experience","Part time course","Graduate","STEM",14,"500-999","Pvt Ltd","1",148,"Y3","1"
"17",17,28476,0.92,"Male","Has relevent experience","no_enrollment","Graduate","Arts",5,"100-500","Public Sector","2",72,"Y2","0"
"18",18,21538,0.887,"Male","Has relevent experience","no_enrollment","High School","STEM",11,"<10","Pvt Ltd","1",8,"Y3","0"
"19",19,14928,0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",22,"100-500","Pvt Ltd","3",40,"Y4","0"
