NA,uid,city_id,city_dev_index,gender,relevant_experience,enrolled_university,education_level,major_discipline,experience_years,company_size,company_type,last_new_job,training_hours,change_job
1,3087,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,No Major,>20,100-500,Pvt Ltd,>4,116,0
2,16910,city_103,0.92,NA,No relevent experience,no_enrollment,Masters,STEM,9,1000-4999,Pvt Ltd,1,12,0
3,20309,city_103,0.92,NA,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,NA,1,44,0
4,8502,city_103,0.92,Other,Has relevent experience,no_enrollment,Graduate,STEM,3,50-99,NA,1,10,0
5,8671,city_53,0.74,Male,Has relevent experience,no_enrollment,Masters,STEM,5,<10,NA,1,8,0
6,9325,city_103,0.92,NA,Has relevent experience,no_enrollment,Masters,STEM,>20,NA,NA,>4,32,0
7,31204,city_16,0.91,Male,No relevent experience,Part time course,Graduate,STEM,5,10/49,Pvt Ltd,1,30,1
8,4854,city_16,0.91,Male,Has relevent experience,no_enrollment,High School,NA,20,NA,NA,>4,24,1
9,8397,city_103,0.92,NA,No relevent experience,NA,High School,NA,2,NA,NA,never,46,0
10,19122,city_103,0.92,NA,Has relevent experience,no_enrollment,Graduate,STEM,15,10000+,Pvt Ltd,>4,150,0
11,22573,city_114,0.926,NA,Has relevent experience,no_enrollment,Graduate,STEM,8,500-999,Pvt Ltd,never,53,0
12,11962,city_39,0.898,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10/49,Pvt Ltd,1,31,0
13,8492,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,3,76,0
14,19061,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,2,50,0
15,21282,city_21,0.624,NA,Has relevent experience,no_enrollment,Masters,STEM,3,100-500,Pvt Ltd,1,56,1
16,24545,city_128,0.527,Male,Has relevent experience,no_enrollment,High School,NA,3,10/49,Pvt Ltd,1,96,0
17,30089,city_126,0.479,NA,No relevent experience,no_enrollment,NA,NA,>20,NA,NA,2,26,1
18,32462,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,15,100-500,Pvt Ltd,1,196,0
19,202,city_67,0.855,Male,No relevent experience,no_enrollment,Masters,STEM,>20,10/49,Funded Startup,>4,78,0
20,26364,city_160,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,6,NA,NA,1,32,1
21,10294,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,4,100-500,Pvt Ltd,4,4,1
22,30302,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,6,100-500,Pvt Ltd,4,163,0
23,16806,city_133,0.742,NA,Has relevent experience,no_enrollment,Graduate,STEM,7,100-500,Pvt Ltd,2,106,1
24,5137,city_103,0.92,Other,No relevent experience,no_enrollment,High School,NA,4,NA,Pvt Ltd,never,72,0
